Message,NAV-TIMEUTC,,,,,
Description,UTC Time Solution,,,,,
Firmware,"Supported on:â€¢u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Periodic/Polled,,,,,
Comment,"Note that during a leap second there may be more or less than 60 seconds in aminute; see the description of leap seconds for details.-",,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x01,0x21,20,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
4,U4,-,tAcc,ns,Time accuracy estimate (UTC),
8,I4,-,nano,ns,"Fraction of second, range -1e9 .. 1e9 (UTC)",
12,U2,-,year,y,"Year, range 1999..2099 (UTC)",
14,U1,-,month,month,"Month, range 1..12 (UTC)",
15,U1,-,day,d,"Day of month, range 1..31 (UTC)",
16,U1,-,hour,h,"Hour of day, range 0..23 (UTC)",
17,U1,-,min,min,"Minute of hour, range 0..59 (UTC)",
18,U1,-,sec,s,"Seconds of minute, range 0..60 (UTC)",
19,X1,-,valid,-,Validity Flags (see graphic below),
